id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6e40mgJiCid5HRAGrbpGA6,I Want It That Way,Backstreet Boys,['Backstreet Boys'],0.689,0.702,6,-5.642,0,0.216,0.0,0.159,0.484,99.031,213600,4
3APayTEWiUl9Ssep4BOXR2,Torn,Natalie Imbruglia,['Natalie Imbruglia'],0.558,0.928,5,-3.04,1,0.0746,5.44e-05,0.696,0.6,96.313,244813,4
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls,['Spice Girls'],0.768,0.864,11,-6.145,1,0.101,0.0,0.162,0.891,110.008,173027,4
1Eb90nmqTrxylKFhcUzW8P,(Everything I Do) I Do It For You,Bryan Adams,['Bryan Adams'],0.533,0.36,1,-12.633,1,0.0805,1.03e-05,0.0631,0.299,131.229,393640,4
2CT3r93YuSHtm57mjxvjhH,Wonderwall,Oasis,['Oasis'],0.409,0.892,2,-4.373,1,0.000807,0.0,0.207,0.651,174.426,258613,4
6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,['Roxette'],0.52,0.652,5,-6.655,1,0.34,5.49e-05,0.256,0.722,80.609,258787,4
4pZ2aqPV39Gw3FuHrWKWnM,Kiss Me,Sixpence None The Richer,['Sixpence None The Richer'],0.529,0.741,3,-5.661,1,0.116,1.23e-06,0.0736,0.455,100.004,205240,4
7lQWRAjyhTpCWFC0jmclT4,Gangsta's Paradise,Coolio,"['Coolio', 'L.V.']",0.647,0.514,8,-10.05,1,0.0655,0.0,0.398,0.387,79.974,240693,4
1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit,Nirvana,['Nirvana'],0.502,0.912,1,-4.556,1,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
2goLsvvODILDzeeiT4dAoR,Believe,Cher,['Cher'],0.652,0.917,6,-6.72,1,0.0082,0.0,0.0509,0.459,132.975,239027,4
3FteycP8CaXS1MhjcXekVT,Stop,Spice Girls,['Spice Girls'],0.722,0.845,2,-4.446,0,0.287,0.0,0.0561,0.965,130.13,204754,4
6sxptembJVty4sNtcPMAVz,Man! I Feel Like A Woman!,Shania Twain,['Shania Twain'],0.657,0.639,10,-7.527,1,0.581,0.0,0.278,0.674,124.882,234493,4
0lnxrQAd9ZxbhBBe7d8FO8,MMMBop,Hanson,['Hanson'],0.683,0.937,9,-6.335,1,0.00481,0.0046,0.07,0.619,104.872,268653,4
7p9dd71JR2ucoAuO1Sy0VZ,When You're Gone,Bryan Adams,"['Bryan Adams', 'Melanie C']",0.546,0.931,0,-6.344,1,0.000299,2.92e-05,0.11,0.643,125.495,204893,4
